id	va	changed_accesses	native_graph	retail_full	retail_summary
src/SOURCE/COMMAND.cpp:combatManager::SetCombatDirections(i32 targetHex)#1	0x0042bc31	4	PASS	True	?SetCombatDirections@combatManager@@QAEXH@Z bytes True size 1880 1880 DIR32 sites True ordered target errors []
src/SOURCE/COMMAND.cpp:combatManager::CheckSetMouseDirection(i32 mouseX,i32 mouseY,i32 targetHex)#1	0x0042c389	6	PASS	False	?CheckSetMouseDirection@combatManager@@QAEXHHH@Z bytes True size 1397 1397 DIR32 sites True ordered target errors [('0x127', '__real@8@4000eeb851eb851eb800', '0x0', '0xea590', None), ('0x142', '__real@8@3fffdd70a3d70a3d7000', '0x0', '0xea588', None), ('0x15d', '__real@4@3fff8000000000000000', '0x0', '0xea518', None), ('0x178', '__real@8@3ffe947ae147ae147800', '0x0', '0xea580', None), ('0x193', '__real@8@3ffd8a3d70a3d70a4000', '0x0', '0xea578', None), ('0x1b1', '__real@8@3ffd8a3d70a3d70a4000', '0x0', '0xea578', None), ('0x1cc', '__real@8@3ffe947ae147ae147800', '0x0', '0xea580', None), ('0x1e7', '__real@4@3fff8000000000000000', '0x0', '0xea518', None), ('0x202', '__real@8@3fffdd70a3d70a3d7000', '0x0', '0xea588', None), ('0x21d', '__real@8@4000eeb851eb851eb800', '0x0', '0xea590', None)]
src/SOURCE/COMMAND.cpp:combatManager::ResetRound(void)#1	0x0042d1a5	1	PASS	True	?ResetRound@combatManager@@QAEXXZ bytes True size 452 452 DIR32 sites True ordered target errors []
src/SOURCE/COMMAND.cpp:combatManager::CheckWin(struct tag_message * message)#1	0x0042d369	1	PASS	True	?CheckWin@combatManager@@QAEHPAUtag_message@@@Z bytes True size 517 517 DIR32 sites True ordered target errors []
src/SOURCE/COMMAND.cpp:combatManager::GetCommand(i32 hexIndex)#1	0x0042d56e	1	PASS	True	?GetCommand@combatManager@@QAEHH@Z bytes True size 1014 1014 DIR32 sites True ordered target errors []
src/SOURCE/COMMAND.cpp:combatManager::DoVictory(CombatResult winningSide)#1	0x0042f601	1	PASS	False	?DoVictory@combatManager@@QAEXH@Z bytes True size 2839 2839 DIR32 sites False ordered target errors [('0x6', '$L62993', '0x0', '0xe83d4', None), ('0xc', '__except_list', '0x0', '0xffc00000', None), ('0x14', '__except_list', '0x0', '0xffc00000', None), ('0x2ca', '__real@8@3ffbccccccccccccd000', '0x0', '0xea4c0', None), ('0xb0d', '__except_list', '0x0', '0xffc00000', None)]
src/SOURCE/COMMAND.cpp:combatManager::ProcessNextAction(struct tag_message & message)#1	0x00430cbe	4	PASS	True	?ProcessNextAction@combatManager@@QAEHAAUtag_message@@@Z bytes True size 1547 1547 DIR32 sites True ordered target errors []
src/SOURCE/COMMAND.cpp:combatManager::ResetCyclingCreatures(void)#1	0x004312c9	2	PASS	True	?ResetCyclingCreatures@combatManager@@QAEXXZ bytes True size 529 529 DIR32 sites True ordered target errors []
src/SOURCE/COMMAND.cpp:combatManager::CycleCombatScreen(void)#1	0x004315fa	1	PASS	False	?CycleCombatScreen@combatManager@@QAEXXZ bytes True size 2352 2352 DIR32 sites True ordered target errors [('0x668', '__real@4@4005c800000000000000', '0x0', '0xea4c8', None), ('0x7c7', '__real@8@3ffe8000000000000000', '0x0', '0xea500', None), ('0x7d6', '__real@8@3ffd8000000000000000', '0x0', '0xea5a0', None), ('0x910', '__real@4@40069600000000000000', '0x0', '0xea4f8', None)]
src/SOURCE/COMMAND.cpp:combatManager::AddArmy(CombatSide side,CreatureType monsterType,i32 quantity,i32 hex,MonsterFlags flags,i32 animate)#1	0x00432015	3	PASS	True	?AddArmy@combatManager@@QAEXHHHHHH@Z bytes True size 803 803 DIR32 sites True ordered target errors []
