domain	owner	storage	start	size	kind	identity	provenance
text	USER32.dll	text	0xc3b5e	0x6	function	_ShowWindow@8	retained-or-recovered-procedure
text	USER32.dll	text	0xc3b64	0x6	function	_PostMessageA@16	retained-or-recovered-procedure
text	USER32.dll	text	0xc3b6a	0x6	function	_LoadIconA@8	retained-or-recovered-procedure
text	USER32.dll	text	0xc3b70	0x6	function	_CreateWindowExA@48	retained-or-recovered-procedure
text	USER32.dll	text	0xc3b76	0x6	function	_AdjustWindowRect@12	retained-or-recovered-procedure
text	USER32.dll	text	0xc3b7c	0x6	function	_RegisterClassA@4	retained-or-recovered-procedure
text	USER32.dll	text	0xc3b82	0x6	function	_DefWindowProcA@16	retained-or-recovered-procedure
text	USER32.dll	text	0xc3b88	0x6	function	_PostQuitMessage@4	retained-or-recovered-procedure
text	USER32.dll	text	0xc3b8e	0x6	function	_DestroyWindow@4	retained-or-recovered-procedure
text	USER32.dll	text	0xc3b94	0x6	function	_GetWindowLongA@8	retained-or-recovered-procedure
text	USER32.dll	text	0xc3b9a	0x6	function	_GetWindowRect@8	retained-or-recovered-procedure
text	USER32.dll	text	0xc3ba0	0x6	function	_SetTimer@16	retained-or-recovered-procedure
text	USER32.dll	text	0xc3ba6	0x6	function	_EndDialog@8	retained-or-recovered-procedure
text	USER32.dll	text	0xc3bac	0x6	function	_GetMessageA@16	retained-or-recovered-procedure
text	USER32.dll	text	0xc3bb2	0x6	function	_MoveWindow@24	retained-or-recovered-procedure
text	USER32.dll	text	0xc3bb8	0x6	function	_WinHelpA@16	retained-or-recovered-procedure
text	USER32.dll	text	0xc3bbe	0x6	function	_DialogBoxParamA@20	retained-or-recovered-procedure
text	USER32.dll	text	0xc3bc4	0x6	function	_EnableMenuItem@12	retained-or-recovered-procedure
text	USER32.dll	text	0xc3bca	0x6	function	_DrawMenuBar@4	retained-or-recovered-procedure
text	USER32.dll	text	0xc3bd0	0x6	function	_SetMenu@8	retained-or-recovered-procedure
text	USER32.dll	text	0xc3bd6	0x6	function	_GetSubMenu@8	retained-or-recovered-procedure
text	USER32.dll	text	0xc3bdc	0x6	function	_GetMenuItemID@8	retained-or-recovered-procedure
text	USER32.dll	text	0xc3be2	0x6	function	_GetMenuItemCount@4	retained-or-recovered-procedure
text	USER32.dll	text	0xc3be8	0x6	function	_MessageBeep@4	retained-or-recovered-procedure
text	USER32.dll	text	0xc3bee	0x6	function	_EndPaint@8	retained-or-recovered-procedure
text	USER32.dll	text	0xc3bf4	0x6	function	_OffsetRect@12	retained-or-recovered-procedure
text	USER32.dll	text	0xc3bfa	0x6	function	_ClientToScreen@8	retained-or-recovered-procedure
text	USER32.dll	text	0xc3c00	0x6	function	_GetClientRect@8	retained-or-recovered-procedure
text	USER32.dll	text	0xc3c06	0x6	function	_BeginPaint@8	retained-or-recovered-procedure
text	USER32.dll	text	0xc3c0c	0x6	function	_ReleaseDC@8	retained-or-recovered-procedure
text	USER32.dll	text	0xc3c12	0x6	function	_GetDC@4	retained-or-recovered-procedure
text	USER32.dll	text	0xc3c18	0x6	function	_InvalidateRect@12	retained-or-recovered-procedure
text	USER32.dll	text	0xc3c1e	0x6	function	_wsprintfA	retained-or-recovered-procedure
text	USER32.dll	text	0xc3c24	0x6	function	_LoadMenuA@8	retained-or-recovered-procedure
text	USER32.dll	text	0xc3c2a	0x6	function	_CheckMenuItem@12	retained-or-recovered-procedure
text	USER32.dll	text	0xc3c30	0x6	function	_DestroyMenu@4	retained-or-recovered-procedure
text	GDI32.dll	text	0xc3c36	0x6	function	_GdiSetBatchLimit@4	retained-or-recovered-procedure
text	GDI32.dll	text	0xc3c3c	0x6	function	_GetSystemPaletteEntries@16	retained-or-recovered-procedure
text	GDI32.dll	text	0xc3c42	0x6	function	_RealizePalette@4	retained-or-recovered-procedure
text	GDI32.dll	text	0xc3c48	0x6	function	_SelectPalette@12	retained-or-recovered-procedure
text	GDI32.dll	text	0xc3c4e	0x6	function	_PatBlt@24	retained-or-recovered-procedure
text	GDI32.dll	text	0xc3c54	0x6	function	_SelectObject@8	retained-or-recovered-procedure
text	GDI32.dll	text	0xc3c5a	0x6	function	_CreatePalette@4	retained-or-recovered-procedure
text	GDI32.dll	text	0xc3c60	0x6	function	_DeleteObject@4	retained-or-recovered-procedure
text	GDI32.dll	text	0xc3c66	0x6	function	_AnimatePalette@16	retained-or-recovered-procedure
text	GDI32.dll	text	0xc3c6c	0x6	function	_DeleteDC@4	retained-or-recovered-procedure
text	GDI32.dll	text	0xc3c72	0x6	function	_GetDeviceCaps@8	retained-or-recovered-procedure
text	WSOCK32.dll	text	0xc3c78	0x6	function	_inet_addr@4	retained-or-recovered-procedure
text	WSOCK32.dll	text	0xc3c7e	0x6	function	_inet_ntoa@4	retained-or-recovered-procedure
text	WSOCK32.dll	text	0xc3c84	0x6	function	_gethostbyname@4	retained-or-recovered-procedure
text	WSOCK32.dll	text	0xc3c8a	0x6	function	_WSAGetLastError@0	retained-or-recovered-procedure
text	WSOCK32.dll	text	0xc3c90	0x6	function	_gethostname@8	retained-or-recovered-procedure
text	WSOCK32.dll	text	0xc3c96	0x6	function	_ioctlsocket@12	retained-or-recovered-procedure
text	WSOCK32.dll	text	0xc3c9c	0x6	function	_bind@12	retained-or-recovered-procedure
text	WSOCK32.dll	text	0xc3ca2	0x6	function	_htonl@4	retained-or-recovered-procedure
text	WSOCK32.dll	text	0xc3ca8	0x6	function	_htons@4	retained-or-recovered-procedure
text	WSOCK32.dll	text	0xc3cae	0x6	function	_socket@12	retained-or-recovered-procedure
text	WSOCK32.dll	text	0xc3cb4	0x6	function	_WSAStartup@8	retained-or-recovered-procedure
text	WSOCK32.dll	text	0xc3cba	0x6	function	_WSACleanup@0	retained-or-recovered-procedure
text	WSOCK32.dll	text	0xc3cc0	0x6	function	_closesocket@4	retained-or-recovered-procedure
text	WSOCK32.dll	text	0xc3cc6	0x6	function	_sendto@24	retained-or-recovered-procedure
text	WSOCK32.dll	text	0xc3ccc	0x6	function	_recvfrom@24	retained-or-recovered-procedure
text	smackw32.DLL	text	0xc3cd2	0x6	function	_SmackNextFrame@4	retained-or-recovered-procedure
text	smackw32.DLL	text	0xc3cd8	0x6	function	_SmackToBufferRect@8	retained-or-recovered-procedure
text	smackw32.DLL	text	0xc3cde	0x6	function	_SmackDoFrame@4	retained-or-recovered-procedure
text	smackw32.DLL	text	0xc3ce4	0x6	function	_SmackClose@4	retained-or-recovered-procedure
text	smackw32.DLL	text	0xc3cea	0x6	function	_SmackSummary@8	retained-or-recovered-procedure
text	smackw32.DLL	text	0xc3cf0	0x6	function	_SmackToBuffer@28	retained-or-recovered-procedure
text	smackw32.DLL	text	0xc3cf6	0x6	function	_SmackOpen@12	retained-or-recovered-procedure
text	smackw32.DLL	text	0xc3cfc	0x6	function	_SmackWait@4	retained-or-recovered-procedure
