unit	name	pol_rva	gold_va	size	moved	shape	witness	verdict	remap
SOURCE/PATH	?GetBestDirection@army@@QAEHHHH@Z	0xbea3f	0x406c50	2303	6	multi-cycle 4+2	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x8->-0xc -0xc->-0x1c -0x10->-0x14 -0x14->-0x10 -0x18->-0x8 -0x1c->-0x18
SOURCE/PHILAI	?CheckDoMain@@YIXHH@Z	0x379d0	0x4aa7b0	384	3	3-cycle	n/a	unproven	-0x4->-0xc -0x8->-0x4 -0xc->-0x8
SOURCE/PHILAI	?CheckForCreatureUpgrades@philAI@@QAEXXZ	0x37c61	0x4aaa50	894	11	multi-cycle 4+4+3	n/a	unproven	-0x4->-0x8 -0x8->-0x10 -0xc->-0x14 -0x10->-0x18 -0x14->-0x1c -0x18->-0x4 -0x1c->-0x20 -0x20->-0xc -0x28->-0x2c -0x2c->-0x30 -0x30->-0x28
SOURCE/PHILAI	?CheckBuyStuff@philAI@@QAEXXZ	0x37fdf	0x4aadd0	1214	7	7-cycle	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0xc -0x8->-0x4 -0xc->-0x10 -0x10->-0x14 -0x14->-0x18 -0x18->-0x1c -0x1c->-0x8
SOURCE/PHILAI	?GoodAdjacent@philAI@@QAEHPAH@Z	0x3849d	0x4ab290	744	9	multi-cycle 5+2+2	n/a	unproven	-0x4->-0x8 -0x8->-0x4 -0xc->-0x10 -0x10->-0x14 -0x14->-0x1c -0x18->-0x24 -0x1c->-0x20 -0x20->-0xc -0x24->-0x18
SOURCE/PHILAI	?DoAnywhereDDoorTownGate@philAI@@QAEHH@Z	0x38fb0	0x4abd20	1017	12	multi-cycle 9+3	n/a	unproven	-0x4->-0x30 -0x8->-0x28 -0xc->-0x4 -0x10->-0x8 -0x14->-0x34 -0x18->-0x1c -0x1c->-0x20 -0x20->-0xc -0x28->-0x10 -0x2c->-0x18 -0x30->-0x14 -0x34->-0x2c
SOURCE/PHILAI	?SetupRelativeHeroStrengths@philAI@@QAEXXZ	0x39501	0x4ac280	183	3	3-cycle	n/a	identifiers-differ	-0x8->-0x10 -0xc->-0x8 -0x10->-0xc
SOURCE/PHILAI	?DetermineHeroToMove@philAI@@QAEPAVhero@@H@Z	0x3b748	0x4ae470	285	2	swap (2-cycle)	n/a	unproven	-0x4->-0x8 -0x8->-0x4
SOURCE/PHILAI	?GetTurnAttentionValue@philAI@@QAEXH@Z	0x3e6b0	0x4b12f0	242	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	reorder-reachable	-0x4->-0x8 -0x8->-0x4
SOURCE/PHILAI	?TurnsToBuy@philAI@@QAEMQAH@Z	0x3e848	0x4b14a0	208	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0xc -0xc->-0x4
SOURCE/PHILAI	?FutureDeflator@philAI@@QAEMQAH@Z	0x3fe81	0x4b2a50	81	2	swap (2-cycle)	1.0==2.1 (2.0 is the outlier)	identifiers-differ	-0x4->-0x8 -0x8->-0x4
SOURCE/PHILAI	?ChooseEvaluateBattle@philAI@@QAEXPAVarmyGroup@@PAVhero@@01HHHAAH2@Z	0x425b0	0x4b5140	199	6	reshuffle (uses unreferenced slots)	1.0==2.1 (2.0 is the outlier)	unproven	-0x4->-0x8 -0x8->-0xc -0xc->-0x14 -0x10->-0x18 -0x14->-0x1c -0x1c->-0x10
