source_sha256	shape	match_percent	candidate_size/frame_bytes	relocs_base/retail	disposition
d6851c553637f2d4fbacb5898f8e140874a6d099d783c4fac5d391a9242718d5	function_local_clipr_after_first_use_scratch_order	92.828415	0x58c/4	144/144	reverted
b0f1bf676ed534045af935aad80b440296852d0152e34e965946b999d1fac36d	global_memset_count_after_clipr_last_scratch_order	92.18499	0x576/0	144/144	reverted
a2c62d14079741814a3137df9bb3ff268123a62de981b937fd7240fa04e9c5e6	first_use_scratch_with_clipb_and_clipr_last	93.72654	0x58c/4	144/144	byte_identical_reverted
3fd1a64eea75e52a3c4420284c40d2dd9b8472742053ec042ba454d165fcc335	direct_clipw_after_clipr_last_scratch_order	93.72654	0x58c/4	144/144	byte_identical_reverted
fba7d67b2b4cf5502bd42afa42a7f35eeca66756474a5a5504e06fd550c81ec6	const_clipwidth_reference_after_clipr_last_scratch_order	92.68096	0x58c/4	144/144	reverted
9a7fcf35993bfa3ade07047c8a137bcdc7a3a0acbea451215773b79ffdb3a54d	clipr_before_clipb_after_retained_scratch_order	92.544235	0x58c/4	144/144	reverted
fd4b3c0f0aa3950e239d8f44ba70bb16255a2b3217910ae3a9227828c88cbb95	direct_initial_shear_after_retained_scratch_order	93.72654	0x58c/4	144/144	byte_identical_reverted
b78bc9284a98c00c561de8b29abcb285d2870a28d531f517b36f1f79bbf78c48	register_clip_width_after_retained_scratch_order	93.72654	0x58c/4	144/144	byte_identical_reverted
1f1345366816ac26a888c81c820aa925ca71f168cad3814f1ca3309481c2b103	precomputed_clipright_spanning_initial_shear_after_retained_order	93.72654	0x58c/4	144/144	byte_identical_reverted
4a8641917ce7ef841025e1e12c581850b21aaadb047be4d67281c6dc3e035965	restore_owner_header_after_retained_scratch_order	84.28954	0x56b/4	141/144	reverted
c9b9c239a03b4a65bb72dc469fb6fbc0e2d8d22a72aa4f4a401b8204dbaeb9b0	misc_header_instead_of_iconentry_after_retained_order	84.28954	0x56b/4	141/144	reverted
3b0678e6a7b81bd450e0a1d063556e98b30f881aa1135017af957e3fd20f4a54	iconentry_before_xglobal_after_retained_scratch_order	93.72654	0x58c/4	144/144	byte_identical_reverted
c295669bbee3a318bb609642fa21125568c4a582d509ba1a0a392a295968112c	unsigned_global_run_after_retained_scratch_order	89.83914	0x56d/0	141/144	reverted
c971d5ef5b55c210f161573548d2b7320cca00b6c737145bd4f835bbf03ab565	const_branch_local_fill_count_after_retained_order	93.72654	0x58c/4	144/144	byte_identical_reverted
dfa5d4b6e39c277a938c86797bc9ab0122072242769566c3b5e1262b8975cc34	unsigned_long_branch_local_fill_count_after_retained_order	93.72654	0x58c/4	144/144	byte_identical_reverted
f902e22900818f557e20a0e51467dffe386095655759341d1e6339fa16cb5d9f	nonconst_reference_clipwidth_after_retained_order	92.68096	0x58c/4	144/144	reverted
335c71b0b48b8dcd9c62b2745c50cb46e8d5d0e87dca141b3acd40caff5b2f39	register_clipw_formal_after_retained_scratch_order	93.72654	0x58c/4	144/144	byte_identical_reverted
7aa7cd988ff3f3024e21c9b9517310000d3c1409f9ffde6ce0d91919e60b2219	register_clipw_formal_with_direct_uses_after_retained_order	93.72654	0x58c/4	144/144	byte_identical_reverted
fbd38e139236cfd376e7e27bf31381920435a34bb5fd1900def81737d05defa3	shear_array_formal_after_retained_scratch_order	n/a	n/a	0/144	compile_symbol_mismatch_reverted
424c46d32e3708b729b0c06c80e2613a6d6c80a22a2f9963e25b01a30e7df705	const_clipw_formal_after_retained_scratch_order	93.72654	0x58c/4	144/144	byte_identical_reverted
8b50a109d398fa2da1d1ad982183b2c6b164dc33ef081937312a1bc3a6098e4a	sibling_complete_direct_setup_after_retained_scratch_order	92.544235	0x58c/4	144/144	reverted
3791f362c421baae5b4f4c4a2728b849ab2f38c8edeab25ffc9c7e5580fb9a0e	clip_edge_temporaries_with_retail_store_order	92.544235	0x58c/4	144/144	reverted
268c3427e1ed538a039bf444862ac9db17f6b55a8cf3f1221af74cac89bc169c	commuted_all_shear_subscripts_after_retained_order	93.72654	0x58c/4	144/144	byte_identical_reverted
9de2980206455761513506b1058c1e7afe0d4e16c695e8d777d54387b5c4e0e3	top_level_volatile_shear_formal_after_retained_order	n/a	n/a	0/144	compile_symbol_mismatch_reverted
a1ae062717cd32d7a391870ac438fdab14e410fe6149652254710607d68511e2	function_scope_const_reference_to_shear_formal	88.77	0x563/0	140/144	alias_propagation_and_frame_regression_reverted
3bc743db286c045815eaf819a084a6531284bccdb537519aa94dba1f910cef6b	setup_only_const_reference_to_shear_formal	88.93	0x563/0	140/144	frame_and_relocation_regression_reverted
871c86f5214ad5b4dc48a8a7aeaaad535cb995f8e8aa47c26b73085f9afa189d	top_level_const_pointer_shear_formal_after_retained_order	n/a	n/a	0/144	compile_symbol_mismatch_reverted
2e6bb567c731745d39b20dba1c5c70bc013c6d21899e9a4ba0cc373c7d8b1162	clip_width_or_zero_optimizer_escape_after_retained_order	93.72654	0x58c/4	144/144	byte_identical_reverted
