id	path	va	casts	address	outside	reviewed_body_sha256	evidence	baseline_body_sha256
src/SOURCE/GAME.cpp:GetMapEvent(i32 x,i32 y)#1	src/SOURCE/GAME.cpp	0x00460424	pending					2c8b599cbb008e0d263355d1fb20d14eefa752a062e98fcbfdf7ae1dc85544db
src/SOURCE/GAME.cpp:ViewArmyHandler(tag_message & msg)#1	src/SOURCE/GAME.cpp	0x00456231	pending					519b463a1b2ffdd342c7cfc19cd30b666a0efd862ce3d734daaf6e395046ef41
src/SOURCE/GAME.cpp:game::CheckForTimeEvent(void)#1	src/SOURCE/GAME.cpp	0x004604d2	pending					c4af3b0be311ac8eb48d95aca826ba3bd88edf118f98d3411f555ec7d818c707
src/SOURCE/GAME.cpp:game::LoadGame(char * filename,i32 loadFromFile,i32)#1	src/SOURCE/GAME.cpp	0x0044e8d9			partial	c0a23c0053a1a4969398d7624b757cce9c80ce7d74a4533ed21bffeb2bb347ad	CP02.md	e02e22cea24add301828ac3bd6400fdd9f7f899941ab3d499691baa9ec3d4f6c
src/SOURCE/GAME.cpp:game::MakeAllWaterVisible(i32 player)#1	src/SOURCE/GAME.cpp	0x0045b944	pending					9a42c5f152635abf887d8722a5a3152fbafdceb687ecbe0ffb5639f5987d4ca8
src/SOURCE/GAME.cpp:game::PerMonth(void)#1	src/SOURCE/GAME.cpp	0x00459b19	pending					fecb6416b3f81bb39984aa1696443654cdcbc72e6305842859a72541ec13d9d1
src/SOURCE/GAME.cpp:game::SaveGame(char * filename,i32 generateName,i8 expansionFormat)#1	src/SOURCE/GAME.cpp	0x0044d3ae			partial	5486ac731451bbeb9dfdee6ef8f9bc9e3651c1f51cb12f8646154c1bdad5c864	CP02.md	c6ce69bedddbc4b3218c6678ec62e843b7d21b474664c0ad635ce099b991f6ad
src/SOURCE/GAME.cpp:game::SetVisibility(i32 x,i32 y,i32 player,i32 radius)#1	src/SOURCE/GAME.cpp	0x0045b736	pending					fac13142f7956c7ff0da8a8d76650eb68f42af111a9acb6e1d3a9a907cac7857
src/SOURCE/GAME.cpp:game::SetupPuzzlePieces(i32 player,i32 justCount)#1	src/SOURCE/GAME.cpp	0x0044cb1e			pending			05339fcc8537380a6f33472dfe2c4fbe5fbeaec2b8b8c2cefd9bcd061cec8ccd
src/SOURCE/HERO.cpp:hero::Deallocate(i32 updateMap)#1	src/SOURCE/HERO.cpp	0x004617f2			pending			7574ada711c4257bdb074036154ff0c04a188e3008b131c0043682f4b5938c2b
src/SOURCE/HISCORE.cpp:highScoreManager::Update(void)#1	src/SOURCE/HISCORE.cpp	0x004654ef	pending					5ce8f1bb34ece3c8009680f73e6f7bafb98ced50f5e99d5168c42a7ac18ced26
src/SOURCE/KB.cpp:AddScoreToHighScore(i32 score,i32 days,i32 scenario,HighScoreType highScoreType,char * scenarioName)#1	src/SOURCE/KB.cpp	0x0046bb0e			pending			118e47f25e683731b22436c40836ec58639158b590aae495b39120f6db6cc6dd
src/SOURCE/KB.cpp:CheckEndGame(CheckEndGameForcedResult forcedResult,b32 dragonCityCaptured)#1	src/SOURCE/KB.cpp	0x00469899	pending					c84365fec6965c112607aac0cf2dd87aea174bc33a6a1ab81f831be6dbceaf0b
src/SOURCE/Overview.cpp:game::Overview(void)#1	src/SOURCE/Overview.cpp	0x0047bda1		pending			CP03.md	b719a2993245069a194eff654d20cbdefa17a05bc4f0f3b0db68e662dccd13a3
src/SOURCE/Overview.cpp:game::SetupDynamicStuff(i32 redraw,i32 updateKnob,i32 forceUpdate)#1	src/SOURCE/Overview.cpp	0x00479ba0		pending			CP03.md	f7335508caa1ccf31c116cc13a56f4265e87b5a61874e4e18801670bcf7254a1
src/SOURCE/PHILAI.cpp:GetHeroSlot(i32 id)#1	src/SOURCE/PHILAI.cpp				pending			4e844a0ed0759391c7f18aa8e2c23168dd89fcee7aaa40b88dd6acc8134b04a2
